experiment,fold,train_n,test_n,best_params,tree_depth,tree_leaves,training_seconds,prediction_seconds
E4_LOOCV,11,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8139737999990757,0.038741799999115756
E4_LOOCV,12,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.786618299996917,0.046189400000002934
E4_LOOCV,13,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9161473000021942,0.04070000000137952
E4_LOOCV,14,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.4930358999990858,0.043169599997781916
E4_LOOCV,15,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.182555200000934,0.04602819999854546
E4_LOOCV,16,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8976594000014302,0.043390099999669474
E4_LOOCV,17,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7222180999997363,0.033944200000405544
E4_LOOCV,18,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7786125999991782,0.04766869999730261
E4_LOOCV,19,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7348124000018288,0.044659899998805486
E4_LOOCV,20,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.0812829000024067,0.043447799998830305
E4_LOOCV,21,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.2406727999987197,0.07666400000016438
E4_LOOCV,22,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,3.23578759999873,0.04942710000250372
E4_LOOCV,23,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8063981000013882,0.05268200000136858
E4_LOOCV,24,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8044632000019192,0.04392480000024079
E4_LOOCV,25,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.604095899998356,0.03828630000134581
E4_LOOCV,26,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6371340999976383,0.0371978000002855
E4_LOOCV,27,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6745233999972697,0.046886100000847364
E4_LOOCV,28,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.719634799999767,0.04035860000294633
E4_LOOCV,29,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6079439999994065,0.043835299999045674
E4_LOOCV,30,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7787594000001263,0.04394030000185012
E4_LOOCV,31,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,4,1.565761099998781,0.045913099998870166
E4_LOOCV,32,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6744442000017443,0.044243899999855785
E4_LOOCV,33,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9154501000011805,0.03982689999975264
E4_LOOCV,34,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.1821498000026622,0.03667670000140788
E4_LOOCV,35,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6917534999993222,0.032325799998943694
E4_LOOCV,36,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.137470800000301,0.03699129999949946
E4_LOOCV,37,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6568599000020185,0.03553400000237161
E4_LOOCV,38,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,4,1.7306202999970992,0.05211609999969369
E4_LOOCV,39,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7636471000005258,0.05381900000065798
E4_LOOCV,40,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.1268220000019937,0.04353099999934784
E4_LOOCV,41,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.6712573999975575,0.11697739999726764
E4_LOOCV,42,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,4.9581370999985666,0.07073709999895073
E4_LOOCV,43,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.8172636999988754,0.07996099999945727
E4_LOOCV,44,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.6537766000001284,0.056719000000157394
E4_LOOCV,45,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.8691379000010784,0.05316859999948065
E4_LOOCV,46,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.2245728000016243,0.050237100000231294
E4_LOOCV,47,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.1957846000004793,0.047693799999251496
E4_LOOCV,48,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.690065599999798,0.03879159999996773
E4_LOOCV,49,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6357337000008556,0.03832370000236551
E4_LOOCV,50,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7754237000008288,0.037974999999278225
E4_LOOCV,51,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.571979199998168,0.03983439999865368
E4_LOOCV,52,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.257643299999472,0.037396499999886146
E4_LOOCV,53,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.530333700000483,0.0376667999989877
E4_LOOCV,54,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.7498008999973536,0.039250199999514734
E4_LOOCV,55,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.268312699998205,0.03866780000316794
E4_LOOCV,56,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9430687999993097,0.03720439999960945
E4_LOOCV,57,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.632943200002046,0.046537000001990236
E4_LOOCV,58,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9070792999991681,0.03998270000010962
E4_LOOCV,59,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7890358999975433,0.040479100000084145
E4_LOOCV,60,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8355407000017294,0.0397768000002543
E4_LOOCV,61,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.62556830000176,0.04485700000077486
E4_LOOCV,62,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8297926999985066,0.040235000000393484
E4_LOOCV,63,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8195015999990574,0.03979860000254121
E4_LOOCV,64,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.635378099999798,0.038187599999218946
E4_LOOCV,65,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.697863099998358,0.04328259999965667
E4_LOOCV,66,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.706267099998513,0.046617500000138534
E4_LOOCV,67,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8982979000029445,0.057852300000377
E4_LOOCV,68,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7779948999996122,0.04955589999735821
E4_LOOCV,69,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9960668000021542,0.04012639999928069
E4_LOOCV,70,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.2942863999996916,0.03758200000083889
E4_LOOCV,71,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8158070000026783,0.039532700000563636
E4_LOOCV,72,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.5832870000012917,0.04181390000303509
E4_LOOCV,73,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9915032999997493,0.0419121000013547
E4_LOOCV,74,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,4,1.7154237000031571,0.04427219999706722
E4_LOOCV,75,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8629503999982262,0.03852579999875161
E4_LOOCV,76,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8066780000008293,0.03509719999783556
E4_LOOCV,77,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8504901999986032,0.03995270000086748
E4_LOOCV,78,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.9468727999992552,0.038993999998638174
E4_LOOCV,79,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.5219088000012562,0.06486279999808175
E4_LOOCV,80,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8239093000011053,0.04056050000144751
E4_LOOCV,81,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.5940969000002951,0.04027639999912935
E4_LOOCV,82,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.5487997000018368,0.0469556999996712
E4_LOOCV,83,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6854777999978978,0.037019100000179606
E4_LOOCV,84,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.4910386000010476,0.03915600000254926
E4_LOOCV,85,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.309119500001543,0.039753500001097564
E4_LOOCV,86,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6158974999998463,0.05003250000299886
E4_LOOCV,87,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.821981599998253,0.034631300000910414
E4_LOOCV,88,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.74939109999832,0.03823469999770168
E4_LOOCV,89,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7519482000025164,0.04299469999750727
E4_LOOCV,90,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8042024999995192,0.03923249999934342
E4_LOOCV,91,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.7587099000011222,0.03650040000138688
E4_LOOCV,92,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,3.099687300000369,0.09387839999908465
E4_LOOCV,93,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,2.087460899998405,0.0490957999973034
E4_LOOCV,94,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.8942468000022927,0.03895829999964917
E4_LOOCV,95,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6793881000012334,0.03772440000102506
E4_LOOCV,96,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6523947000023327,0.05182520000016666
E4_LOOCV,97,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.839952299997094,0.04608600000210572
E4_LOOCV,98,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 4}",2,4,1.6523472999979276,0.04407780000110506
E4_LOOCV,99,98,1,"{""tree__max_depth"": 2, ""tree__min_samples_leaf"": 1}",2,3,1.629381700000522,0.04711309999765945
