invoice_no,source_excel_row,customer_name_masking,receive_date,cutoff_rule,cutoff_type,cutoff_value,cutoff_date_decision_time,days_to_cutoff_source,days_to_cutoff_decision_time,receive_schedule,receive_day_code,next_receive_day_gap_decision_time,receive_date_schedule_status,current_label,current_reason,candidate_reason,guideline_based_label,guideline_based_note,Suggested Label,Applied Rule(s),Operational Reason,Confidence,Potential Rule Conflict,Conflict Detail
93106374,94,CUST128,2026-05-26,NEXT_MONTH_DATE,3 working days in next month,3.0,2026-06-03,7,6.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0557,52,CUST013,2026-05-21,END_MONTH,End of month,0.0,2026-05-29,7,6.0,"Tuesday,Thursday & Friday","2,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-0723,58,CUST498,2026-05-21,END_MONTH,End of month,0.0,2026-05-29,6,6.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
93115889,18,CUST179,2026-05-19,MONTHLY_DATE,Max on 28th in every month,28.0,2026-05-28,8,7.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0719,81,CUST284,2026-05-25,NEXT_MONTH_DATE,Max on 3rd in the nextmonth,3.0,2026-06-03,8,7.0,Tuesday & Thursday,"2,4",1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-0745,30,CUST123,2026-05-20,END_MONTH,End of month,0.0,2026-05-29,8,7.0,Wednesday,3,0.0,VALID_RECEIVE_DAY,HIGH,LIMITED_RECEIVE_DAY,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-1766,16,CUST394,2026-05-19,MONTHLY_DATE,Max on 28th in every month,28.0,2026-05-28,8,7.0,Wednesday & Friday,"3,5",1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,HIGH,LIMITED_RECEIVE_DAY,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-2382,41,CUST079,2026-05-20,END_MONTH,End of month,0.0,2026-05-29,8,7.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-2386,46,CUST150,2026-05-20,END_MONTH,End of month,0.0,2026-05-29,8,7.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-2484,26,CUST374,2026-05-20,END_MONTH,End of month,0.0,2026-05-29,8,7.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-2575,24,CUST498,2026-05-20,END_MONTH,End of month ,0.0,2026-05-29,8,7.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202604-2405,95,CUST008,2026-05-26,NEXT_MONTH_DATE,Date 5 in the next month,5.0,2026-06-05,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0360,96,CUST008,2026-05-26,NEXT_MONTH_DATE,Date 5 in the next month,5.0,2026-06-05,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0550,88,CUST342,2026-05-26,NEXT_MONTH_FIRST_WEEK,First week of next month,1.0,2026-06-05,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0710,75,CUST074,2026-05-22,NEXT_MONTH_DATE,3 working days in next month,3.0,2026-06-03,9,8.0,Tuesday & Thursday,"2,4",4.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,"days_to_cutoff_decision_time between 3 and 10; limited receive schedule, but not immediately due today/tomorrow; approaching cutoff but not immediately urgent and not month-end",MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,MEDIUM,R8; R9,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,Medium,No,
S202605-0795,2,CUST172,2026-05-19,END_MONTH,End of month,0.0,2026-05-29,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-1314,14,CUST024,2026-05-19,END_MONTH,End of month,0.0,2026-05-29,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-1758,9,CUST082,2026-05-19,END_MONTH,End of month ,0.0,2026-05-29,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-1767,8,CUST498,2026-05-19,END_MONTH,End of month ,0.0,2026-05-29,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-2103,15,CUST235,2026-05-19,END_MONTH,End of month,0.0,2026-05-29,9,8.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
93115446,17,CUST380,2026-05-19,NEXT_MONTH_WORKDAY,1 working days in next month,1.0,2026-06-01,10,9.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
93118518,28,CUST320,2026-05-20,NEXT_MONTH_WORKDAY,2 working days in next month,2.0,2026-06-02,10,9.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0419,53,CUST101,2026-05-21,NEXT_MONTH_DATE,Max on 3th in the next month,3.0,2026-06-03,10,9.0,"Monday, Wednesday, Friday","1,3,5",1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-0587,55,CUST345,2026-05-21,NEXT_MONTH_DATE,3 working days in next month,3.0,2026-06-03,9,9.0,Tuesday & Thursday,"2,4",0.0,VALID_RECEIVE_DAY,HIGH,LIMITED_RECEIVE_DAY,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,HIGH,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",HIGH,R7,"R7: jadwal penerimaan terbatas dan kesempatan penerimaan berikutnya <= 1 hari. priority resolution applied because multiple rule conditions were detected: R7, R8",Medium,Yes,R7; R8
S202605-0628,77,CUST375,2026-05-25,NEXT_MONTH_DATE,Max on 7th in the nextmonth (Working day),7.0,2026-06-07,10,9.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0715,67,CUST196,2026-05-22,MONTHLY_DATE,4 working days in next month,4.0,2026-06-04,10,9.0,"Tuesday, Thursday","2,4",4.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,"days_to_cutoff_decision_time between 3 and 10; limited receive schedule, but not immediately due today/tomorrow; approaching cutoff but not immediately urgent and not month-end",MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,MEDIUM,R8; R9,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH. R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak,Medium,No,
S202605-1781,37,CUST034,2026-05-20,MONTHLY_DATE,Max on 3rd in the month,3.0,2026-06-03,11,10.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-2835,35,CUST283,2026-05-20,NEXT_MONTH_DATE,3 days in next month (Bukan hari kerja),3.0,2026-06-03,11,10.0,Everyday,"1,2,3,4,5",0.0,VALID_RECEIVE_DAY,NORMAL,LONG_TIME_TO_CUTOFF,days_to_cutoff_decision_time between 3 and 10; approaching cutoff but not immediately urgent and not month-end,MEDIUM,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,MEDIUM,R8,R8: cutoff berada pada rentang pemantauan 3-10 hari dan tidak memenuhi aturan HIGH,High,No,
S202605-0632,73,CUST069,2026-05-22,NO_CUTOFF,No cut off,0.0,,999,999.0,"Monday, Tuesday & Thursday","1,2,4",3.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,NO_CUTOFF,"limited receive schedule, but not immediately due today/tomorrow",MEDIUM,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,Yes,R9; R10
S202605-0708,106,CUST328,2026-05-29,NO_CUTOFF,No cut off,0.0,,999,999.0,Wednesday,3,5.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,NORMAL,LONG_TIME_TO_CUTOFF,"limited receive schedule, but not immediately due today/tomorrow",MEDIUM,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,Yes,R9; R10
S202605-0737,4,CUST359,2026-05-19,NO_CUTOFF,No cut off,0.0,,999,999.0,"Monday, Thursday","1,4",2.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,HIGH,LIMITED_RECEIVE_DAY,"limited receive schedule, but not immediately due today/tomorrow",MEDIUM,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",MEDIUM,R9,"R9: jadwal penerimaan terbatas tetapi masih terdapat kesempatan operasional sebelum mendesak. priority resolution applied because multiple rule conditions were detected: R9, R10",Medium,Yes,R9; R10
